row_ID,study_ID,title,year,journal,volume,issue,pages,authors,taxo_group,species_name,population,study_environment,age,personality_trait,study_type,male_n,female_n,male_mean,male_SE,female_mean,female_SE,error_type,m_SE_to_SD,f_SE_to_SD,directionality,comp,depend,data_type,data_location,score,proportion,flip_sign,data_quality
1452,P157,Dopaminergic system as the mechanism underlying personality in a beetle,2012,Journal of Insect Physiology,58,5,750-755,"Nakayama, S.; Sasaki, K.; Matsumura, K.; Lewis, Z.; Miyatake, T.",invertebrate,Tribolium confusum,lab,lab,adult,boldness,experimental,36,36,80.429,19.303,57.909,17.694,SE,115.818,106.164,1,1168,448,duration tonic immobility,Figure,,,,
1453,P157,Dopaminergic system as the mechanism underlying personality in a beetle,2012,Journal of Insect Physiology,58,5,750-755,"Nakayama, S.; Sasaki, K.; Matsumura, K.; Lewis, Z.; Miyatake, T.",invertebrate,Tribolium confusum,lab,lab,adult,boldness,experimental,36,36,360.396,110.891,150.495,33.663,SE,665.346,201.978,1,1169,448,duration tonic immobility,Figure,,,,
1454,P157,Dopaminergic system as the mechanism underlying personality in a beetle,2012,Journal of Insect Physiology,58,5,750-755,"Nakayama, S.; Sasaki, K.; Matsumura, K.; Lewis, Z.; Miyatake, T.",invertebrate,Tribolium confusum,lab,lab,adult,boldness,experimental,36,36,19.802,5.941,17.822,7.921,SE,35.646,47.526,1,1170,448,duration tonic immobility,Figure,,,,
1455,P157,Dopaminergic system as the mechanism underlying personality in a beetle,2012,Journal of Insect Physiology,58,5,750-755,"Nakayama, S.; Sasaki, K.; Matsumura, K.; Lewis, Z.; Miyatake, T.",invertebrate,Tribolium confusum,lab,lab,adult,boldness,experimental,36,36,1.88,1.227,2.794,2.742,SE,7.362,16.452,1,1171,448,duration tonic immobility,Figure,,,,
1456,P157,Dopaminergic system as the mechanism underlying personality in a beetle,2012,Journal of Insect Physiology,58,5,750-755,"Nakayama, S.; Sasaki, K.; Matsumura, K.; Lewis, Z.; Miyatake, T.",invertebrate,Tribolium confusum,lab,lab,adult,boldness,experimental,36,36,0.313,0.235,3.786,2.141,SE,1.41,12.846,1,1172,448,duration tonic immobility,Figure,,,,
1457,P157,Dopaminergic system as the mechanism underlying personality in a beetle,2012,Journal of Insect Physiology,58,5,750-755,"Nakayama, S.; Sasaki, K.; Matsumura, K.; Lewis, Z.; Miyatake, T.",invertebrate,Tribolium confusum,lab,lab,adult,boldness,experimental,36,36,3.838,1.838,0.865,0.622,SE,11.028,3.732,1,1173,448,duration tonic immobility,Figure,,,,
1458,P157,Dopaminergic system as the mechanism underlying personality in a beetle,2012,Journal of Insect Physiology,58,5,750-755,"Nakayama, S.; Sasaki, K.; Matsumura, K.; Lewis, Z.; Miyatake, T.",invertebrate,Tribolium confusum,lab,lab,adult,boldness,experimental,36,36,3.514,2.568,3.946,1.622,SE,15.408,9.732,1,1174,448,duration tonic immobility,Figure,,,,
1459,P157,Dopaminergic system as the mechanism underlying personality in a beetle,2012,Journal of Insect Physiology,58,5,750-755,"Nakayama, S.; Sasaki, K.; Matsumura, K.; Lewis, Z.; Miyatake, T.",invertebrate,Tribolium confusum,lab,lab,adult,boldness,experimental,36,36,1.837,0.954,2.58,1.802,SE,5.724,10.812,1,1175,448,duration tonic immobility,Figure,,,,
1460,P157,Dopaminergic system as the mechanism underlying personality in a beetle,2012,Journal of Insect Physiology,58,5,750-755,"Nakayama, S.; Sasaki, K.; Matsumura, K.; Lewis, Z.; Miyatake, T.",invertebrate,Tribolium confusum,lab,lab,adult,boldness,experimental,36,36,1.555,0.495,1.06,0.53,SE,2.97,3.18,1,1176,448,duration tonic immobility,Figure,,,,
1461,P157,Dopaminergic system as the mechanism underlying personality in a beetle,2012,Journal of Insect Physiology,58,5,750-755,"Nakayama, S.; Sasaki, K.; Matsumura, K.; Lewis, Z.; Miyatake, T.",invertebrate,Tribolium confusum,lab,lab,adult,activity,experimental,34,34,504.95,151.485,460.396,109.901,SE,883.302,640.827,,1177,449,activity,Figure,,,,
1462,P157,Dopaminergic system as the mechanism underlying personality in a beetle,2012,Journal of Insect Physiology,58,5,750-755,"Nakayama, S.; Sasaki, K.; Matsumura, K.; Lewis, Z.; Miyatake, T.",invertebrate,Tribolium confusum,lab,lab,adult,activity,experimental,34,34,962.376,133.663,1018.812,148.515,SE,779.383,865.984,,1178,449,activity,Figure,,,,
1463,P157,Dopaminergic system as the mechanism underlying personality in a beetle,2012,Journal of Insect Physiology,58,5,750-755,"Nakayama, S.; Sasaki, K.; Matsumura, K.; Lewis, Z.; Miyatake, T.",invertebrate,Tribolium confusum,lab,lab,adult,activity,experimental,34,34,439.669,82.645,472.727,122.314,SE,481.899,713.207,,1179,449,activity,Figure,,,,
1464,P157,Dopaminergic system as the mechanism underlying personality in a beetle,2012,Journal of Insect Physiology,58,5,750-755,"Nakayama, S.; Sasaki, K.; Matsumura, K.; Lewis, Z.; Miyatake, T.",invertebrate,Tribolium confusum,lab,lab,adult,activity,experimental,34,34,743.802,138.843,776.86,165.289,SE,809.587,963.792,,1180,449,activity,Figure,,,,
1465,P157,Dopaminergic system as the mechanism underlying personality in a beetle,2012,Journal of Insect Physiology,58,5,750-755,"Nakayama, S.; Sasaki, K.; Matsumura, K.; Lewis, Z.; Miyatake, T.",invertebrate,Tribolium confusum,lab,lab,adult,activity,experimental,34,34,472.258,104.516,270.968,147.097,SE,609.428,857.716,,1181,449,activity,Figure,,,,
1466,P157,Dopaminergic system as the mechanism underlying personality in a beetle,2012,Journal of Insect Physiology,58,5,750-755,"Nakayama, S.; Sasaki, K.; Matsumura, K.; Lewis, Z.; Miyatake, T.",invertebrate,Tribolium confusum,lab,lab,adult,activity,experimental,34,34,901.935,147.097,948.387,154.839,SE,857.716,902.859,,1182,449,activity,Figure,,,,
1467,P157,Dopaminergic system as the mechanism underlying personality in a beetle,2012,Journal of Insect Physiology,58,5,750-755,"Nakayama, S.; Sasaki, K.; Matsumura, K.; Lewis, Z.; Miyatake, T.",invertebrate,Tribolium confusum,lab,lab,adult,activity,experimental,34,34,894.737,173.684,1289.474,152.632,SE,1012.743,889.99,,1183,449,activity,Figure,,,,
1468,P157,Dopaminergic system as the mechanism underlying personality in a beetle,2012,Journal of Insect Physiology,58,5,750-755,"Nakayama, S.; Sasaki, K.; Matsumura, K.; Lewis, Z.; Miyatake, T.",invertebrate,Tribolium confusum,lab,lab,adult,activity,experimental,34,34,1094.737,115.789,1521.053,231.579,SE,675.16,1350.326,,1184,449,activity,Figure,,,,
1469,P157,Dopaminergic system as the mechanism underlying personality in a beetle,2012,Journal of Insect Physiology,58,5,750-755,"Nakayama, S.; Sasaki, K.; Matsumura, K.; Lewis, Z.; Miyatake, T.",invertebrate,Tribolium confusum,lab,lab,adult,activity,experimental,34,34,755.418,105.263,1046.44,179.567,SE,613.783,1047.047,,1185,449,activity,Figure,,,,
1470,P157,Dopaminergic system as the mechanism underlying personality in a beetle,2012,Journal of Insect Physiology,58,5,750-755,"Nakayama, S.; Sasaki, K.; Matsumura, K.; Lewis, Z.; Miyatake, T.",invertebrate,Tribolium confusum,lab,lab,adult,activity,experimental,34,34,1349.845,154.799,1207.43,198.142,SE,902.626,1155.356,,1186,449,activity,Figure,,,,
1471,P157,Dopaminergic system as the mechanism underlying personality in a beetle,2012,Journal of Insect Physiology,58,5,750-755,"Nakayama, S.; Sasaki, K.; Matsumura, K.; Lewis, Z.; Miyatake, T.",invertebrate,Tribolium confusum,lab,lab,adult,activity,experimental,34,34,1367.003,363.636,1360.269,457.912,SE,2120.344,2670.063,,1187,449,activity,Figure,,,,
1472,P157,Dopaminergic system as the mechanism underlying personality in a beetle,2012,Journal of Insect Physiology,58,5,750-755,"Nakayama, S.; Sasaki, K.; Matsumura, K.; Lewis, Z.; Miyatake, T.",invertebrate,Tribolium confusum,lab,lab,adult,activity,experimental,34,34,949.495,161.616,1259.259,168.35,SE,942.375,981.641,,1188,449,activity,Figure,,,,
1473,P159,"Biogenic amines, caffeine and tonic immobility in Tribolium castaneum",2010,Journal of Insect Physiology,56,6,622-628,"Nishi, Y.; Sasaki, K.; Miyatake, T.",invertebrate,Tribolium castaneum,lab,lab,adult,boldness,experimental,24,24,381.06,247.37,587.46,543.53,SD,247.37,543.53,1,1189,450,duration tonic immobility,in-text,,,,
1474,P159,"Biogenic amines, caffeine and tonic immobility in Tribolium castaneum",2010,Journal of Insect Physiology,56,6,622-628,"Nishi, Y.; Sasaki, K.; Miyatake, T.",invertebrate,Tribolium castaneum,lab,lab,adult,boldness,experimental,24,24,233.22,186.3,142.4,190.53,SD,186.3,190.53,1,1190,450,duration tonic immobility,in-text,,,,
1475,P159,"Biogenic amines, caffeine and tonic immobility in Tribolium castaneum",2010,Journal of Insect Physiology,56,6,622-628,"Nishi, Y.; Sasaki, K.; Miyatake, T.",invertebrate,Tribolium castaneum,lab,lab,adult,boldness,experimental,24,24,0,0,0.09,0.35,SD,0,0.35,1,1191,450,duration tonic immobility,in-text,,,,1
1476,P159,"Biogenic amines, caffeine and tonic immobility in Tribolium castaneum",2010,Journal of Insect Physiology,56,6,622-628,"Nishi, Y.; Sasaki, K.; Miyatake, T.",invertebrate,Tribolium castaneum,lab,lab,adult,boldness,experimental,24,24,0.31,0.93,0.08,0.27,SD,0.93,0.27,1,1192,450,duration tonic immobility,in-text,,,,
1477,P159,"Biogenic amines, caffeine and tonic immobility in Tribolium castaneum",2010,Journal of Insect Physiology,56,6,622-628,"Nishi, Y.; Sasaki, K.; Miyatake, T.",invertebrate,Tribolium castaneum,lab,lab,adult,boldness,experimental,20,20,740.68,435.3,799,568.57,SD,435.3,568.57,1,1193,450,duration tonic immobility,in-text,,,,
1478,P159,"Biogenic amines, caffeine and tonic immobility in Tribolium castaneum",2010,Journal of Insect Physiology,56,6,622-628,"Nishi, Y.; Sasaki, K.; Miyatake, T.",invertebrate,Tribolium castaneum,lab,lab,adult,boldness,experimental,20,20,118.72,120.04,88.11,80.33,SD,120.04,80.33,1,1194,450,duration tonic immobility,in-text,,,,
1479,P159,"Biogenic amines, caffeine and tonic immobility in Tribolium castaneum",2010,Journal of Insect Physiology,56,6,622-628,"Nishi, Y.; Sasaki, K.; Miyatake, T.",invertebrate,Tribolium castaneum,lab,lab,adult,boldness,experimental,20,20,462.02,423.07,342.33,363.52,SD,423.07,363.52,1,1195,450,duration tonic immobility,in-text,,,,
1480,P159,"Biogenic amines, caffeine and tonic immobility in Tribolium castaneum",2010,Journal of Insect Physiology,56,6,622-628,"Nishi, Y.; Sasaki, K.; Miyatake, T.",invertebrate,Tribolium castaneum,lab,lab,adult,boldness,experimental,21,18,69.1,114.71,34.36,39.44,SD,114.71,39.44,1,1196,450,duration tonic immobility,in-text,,,,
1481,P159,"Biogenic amines, caffeine and tonic immobility in Tribolium castaneum",2010,Journal of Insect Physiology,56,6,622-628,"Nishi, Y.; Sasaki, K.; Miyatake, T.",invertebrate,Tribolium castaneum,lab,lab,adult,boldness,experimental,21,21,0,0,0.11,0.38,SD,0,0.38,1,1197,450,duration tonic immobility,in-text,,,,1
1482,P159,"Biogenic amines, caffeine and tonic immobility in Tribolium castaneum",2010,Journal of Insect Physiology,56,6,622-628,"Nishi, Y.; Sasaki, K.; Miyatake, T.",invertebrate,Tribolium castaneum,lab,lab,adult,boldness,experimental,20,20,0.37,1.18,0.15,0.47,SD,1.18,0.47,1,1198,450,duration tonic immobility,in-text,,,,
1483,P159,"Biogenic amines, caffeine and tonic immobility in Tribolium castaneum",2010,Journal of Insect Physiology,56,6,622-628,"Nishi, Y.; Sasaki, K.; Miyatake, T.",invertebrate,Tribolium castaneum,lab,lab,adult,boldness,experimental,21,21,0.05,0.23,0,0,SD,0.23,0,1,1199,450,duration tonic immobility,in-text,,,,1
1484,P159,"Biogenic amines, caffeine and tonic immobility in Tribolium castaneum",2010,Journal of Insect Physiology,56,6,622-628,"Nishi, Y.; Sasaki, K.; Miyatake, T.",invertebrate,Tribolium castaneum,lab,lab,adult,boldness,experimental,21,20,0.13,0.62,0,0,SD,0.62,0,1,1200,450,duration tonic immobility,in-text,,,,1
1485,P160,Context matters: Multiple novelty tests reveal different aspects of shyness-boldness in farmed American mink (Neovison vison),2015,PLoS ONE,10,6,e0130474,"Noer, C.L.; Needham, E.K.; Wiese, A.-S.; Balsby, T.J.S.; Dabelsteen, T.",mammal,Neovison vison,lab,lab,adult,boldness,experimental,35,12,11.03,2.69,8.75,3.35,SE,15.914,11.605,1,1201,451,time out,Supplementary,,,,
1486,P160,Context matters: Multiple novelty tests reveal different aspects of shyness-boldness in farmed American mink (Neovison vison),2015,PLoS ONE,10,6,e0130474,"Noer, C.L.; Needham, E.K.; Wiese, A.-S.; Balsby, T.J.S.; Dabelsteen, T.",mammal,Neovison vison,lab,lab,adult,boldness,experimental,35,12,12,3.75,12,2.83,SE,22.185,9.803,1,1202,452,time to touch,Supplementary,,,,
1487,P160,Context matters: Multiple novelty tests reveal different aspects of shyness-boldness in farmed American mink (Neovison vison),2015,PLoS ONE,10,6,e0130474,"Noer, C.L.; Needham, E.K.; Wiese, A.-S.; Balsby, T.J.S.; Dabelsteen, T.",mammal,Neovison vison,lab,lab,adult,boldness,experimental,35,12,12.82,2.57,30.45,9.27,SE,15.204,32.112,1,1202,452,time to touch,Supplementary,,,,
1488,P160,Context matters: Multiple novelty tests reveal different aspects of shyness-boldness in farmed American mink (Neovison vison),2015,PLoS ONE,10,6,e0130474,"Noer, C.L.; Needham, E.K.; Wiese, A.-S.; Balsby, T.J.S.; Dabelsteen, T.",mammal,Neovison vison,lab,lab,adult,boldness,experimental,35,12,9.11,2.08,6.92,2.29,SE,12.305,7.933,1,1203,453,time to play,Supplementary,,,,
1489,P160,Context matters: Multiple novelty tests reveal different aspects of shyness-boldness in farmed American mink (Neovison vison),2015,PLoS ONE,10,6,e0130474,"Noer, C.L.; Needham, E.K.; Wiese, A.-S.; Balsby, T.J.S.; Dabelsteen, T.",mammal,Neovison vison,lab,lab,adult,boldness,experimental,35,12,8.91,2.9,16,5.56,SE,17.157,19.26,1,1201,451,time out,Supplementary,,,,
1490,P160,Context matters: Multiple novelty tests reveal different aspects of shyness-boldness in farmed American mink (Neovison vison),2015,PLoS ONE,10,6,e0130474,"Noer, C.L.; Needham, E.K.; Wiese, A.-S.; Balsby, T.J.S.; Dabelsteen, T.",mammal,Neovison vison,lab,lab,adult,boldness,experimental,35,12,50.54,10.53,53,14.24,SE,62.296,49.329,1,1202,452,time to touch,Supplementary,,,,
1491,P160,Context matters: Multiple novelty tests reveal different aspects of shyness-boldness in farmed American mink (Neovison vison),2015,PLoS ONE,10,6,e0130474,"Noer, C.L.; Needham, E.K.; Wiese, A.-S.; Balsby, T.J.S.; Dabelsteen, T.",mammal,Neovison vison,lab,lab,adult,boldness,experimental,35,12,19.94,4,21.67,4.76,SE,23.664,16.489,1,1203,453,time to play,Supplementary,,,,
1492,P160,Context matters: Multiple novelty tests reveal different aspects of shyness-boldness in farmed American mink (Neovison vison),2015,PLoS ONE,10,6,e0130474,"Noer, C.L.; Needham, E.K.; Wiese, A.-S.; Balsby, T.J.S.; Dabelsteen, T.",mammal,Neovison vison,lab,lab,adult,boldness,experimental,35,12,72.03,14.06,61.83,10.9,SE,83.18,37.759,1,1201,451,time out,Supplementary,,,,
1493,P160,Context matters: Multiple novelty tests reveal different aspects of shyness-boldness in farmed American mink (Neovison vison),2015,PLoS ONE,10,6,e0130474,"Noer, C.L.; Needham, E.K.; Wiese, A.-S.; Balsby, T.J.S.; Dabelsteen, T.",mammal,Neovison vison,lab,lab,adult,boldness,experimental,35,12,90.21,14.22,66.67,14.24,SE,84.127,49.329,1,1202,452,time to touch,Supplementary,,,,
1494,P160,Context matters: Multiple novelty tests reveal different aspects of shyness-boldness in farmed American mink (Neovison vison),2015,PLoS ONE,10,6,e0130474,"Noer, C.L.; Needham, E.K.; Wiese, A.-S.; Balsby, T.J.S.; Dabelsteen, T.",mammal,Neovison vison,lab,lab,adult,boldness,experimental,35,12,62.69,8.53,49.17,9.57,SE,50.464,33.151,1,1203,453,time to play,Supplementary,,,,
1495,P160,Context matters: Multiple novelty tests reveal different aspects of shyness-boldness in farmed American mink (Neovison vison),2015,PLoS ONE,10,6,e0130474,"Noer, C.L.; Needham, E.K.; Wiese, A.-S.; Balsby, T.J.S.; Dabelsteen, T.",mammal,Neovison vison,lab,lab,adult,boldness,experimental,35,12,3.51,1.11,4,1.92,SE,6.567,6.651,1,1201,451,time out,Supplementary,,,,
1496,P160,Context matters: Multiple novelty tests reveal different aspects of shyness-boldness in farmed American mink (Neovison vison),2015,PLoS ONE,10,6,e0130474,"Noer, C.L.; Needham, E.K.; Wiese, A.-S.; Balsby, T.J.S.; Dabelsteen, T.",mammal,Neovison vison,lab,lab,adult,boldness,experimental,35,12,15.43,7.47,4.67,1.32,SE,44.193,4.573,1,1202,452,time to touch,Supplementary,,,,
1497,P160,Context matters: Multiple novelty tests reveal different aspects of shyness-boldness in farmed American mink (Neovison vison),2015,PLoS ONE,10,6,e0130474,"Noer, C.L.; Needham, E.K.; Wiese, A.-S.; Balsby, T.J.S.; Dabelsteen, T.",mammal,Neovison vison,lab,lab,adult,boldness,experimental,35,12,15.14,3.17,16.75,3.13,SE,18.754,10.843,1,1203,453,time to play,Supplementary,,,,
1498,P162,Sun-basking fish benefit from body temperatures that are higher than ambient water,2018,Proceedings of the Royal Society B: Biological Sciences,285,1879,20180639,"Nordahl, O.; Tibblin, P.; Koch-Schmidt, P.; Berggren, H.; Larsson, P.; Forsman, A.",fish,Cyprinus carpio,field,field,adult,boldness,observation,10,7,1443.4,223.511,1199.857,301.465,SE,706.804,797.601,1,1210,456,time to emergence,Supplementary,,,,
1499,P162,Sun-basking fish benefit from body temperatures that are higher than ambient water,2018,Proceedings of the Royal Society B: Biological Sciences,285,1879,20180639,"Nordahl, O.; Tibblin, P.; Koch-Schmidt, P.; Berggren, H.; Larsson, P.; Forsman, A.",fish,Cyprinus carpio,field,field,adult,boldness,observation,4,6,222.25,184.56,385.833,316.671,SE,369.12,775.682,1,1211,456,time to emergence,Supplementary,,,,
1500,P162,Sun-basking fish benefit from body temperatures that are higher than ambient water,2018,Proceedings of the Royal Society B: Biological Sciences,285,1879,20180639,"Nordahl, O.; Tibblin, P.; Koch-Schmidt, P.; Berggren, H.; Larsson, P.; Forsman, A.",fish,Cyprinus carpio,field,field,adult,boldness,observation,9,7,852.444,264.016,694.571,306.482,SE,792.048,810.875,1,1212,456,time to emergence,Supplementary,,,,
1501,P162,Sun-basking fish benefit from body temperatures that are higher than ambient water,2018,Proceedings of the Royal Society B: Biological Sciences,285,1879,20180639,"Nordahl, O.; Tibblin, P.; Koch-Schmidt, P.; Berggren, H.; Larsson, P.; Forsman, A.",fish,Cyprinus carpio,field,field,adult,boldness,observation,4,5,71.5,18.53,85.2,32.802,SE,37.06,73.348,1,1213,456,time to emergence,Supplementary,,,,
1502,P162,Sun-basking fish benefit from body temperatures that are higher than ambient water,2018,Proceedings of the Royal Society B: Biological Sciences,285,1879,20180639,"Nordahl, O.; Tibblin, P.; Koch-Schmidt, P.; Berggren, H.; Larsson, P.; Forsman, A.",fish,Cyprinus carpio,field,field,adult,boldness,observation,9,7,434,217.136,195.857,42.93,SE,651.408,113.582,1,1214,456,time to emergence,Supplementary,,,,
1503,P162,Sun-basking fish benefit from body temperatures that are higher than ambient water,2018,Proceedings of the Royal Society B: Biological Sciences,285,1879,20180639,"Nordahl, O.; Tibblin, P.; Koch-Schmidt, P.; Berggren, H.; Larsson, P.; Forsman, A.",fish,Cyprinus carpio,field,field,adult,boldness,observation,4,6,60.5,12.52,90.667,21.413,SE,25.04,52.451,1,1215,456,time to emergence,Supplementary,,,,
1504,P165,Differences in boldness are repeatable and heritable in a long-lived marine predator,2013,Ecology and Evolution,3,13,4291-4299,"Patrick, S.C.; Charmantier, A.; Weimerskirch, H.",bird,Diomedea exulans,field,field,adult,boldness,observation,335,335,1.21,0.04,1.46,0.04,SD,0.04,0.04,,1222,460,boldness score,in-text,1,,,
1505,P166,Factors affecting aggression in a captive flock of Chilean flamingos (Phoenicopterus chilensis),2011,Zoo Biology,30,1,59-64,"Perdue, B.M.; Gaalema, D.E.; Martin, A.L.; Dampier, S.M.; Maple, T.L.",bird,Phoenicopterus chilensis,lab,lab,adult,aggression,experimental,37,28,0.231,0.026,0.203,0.035,SE,0.158,0.185,,1223,461,freq. aggression,Figure,,1,,
1506,P166,Factors affecting aggression in a captive flock of Chilean flamingos (Phoenicopterus chilensis),2011,Zoo Biology,30,1,59-64,"Perdue, B.M.; Gaalema, D.E.; Martin, A.L.; Dampier, S.M.; Maple, T.L.",bird,Phoenicopterus chilensis,lab,lab,juvenile,aggression,experimental,6,13,0.093,0.04,0.075,0.02,SE,0.098,0.072,,1224,461,freq. aggression,Figure,,1,,
1507,P167,Does sex influence intraspecific aggression and dominance in Nile tilapia juveniles?,2014,Behavioural Processes,105,,15-18,"Pinho-Neto, C.F.; Miyai, C.A.; Sanches, F.H.C.; Giaquinto, P.C.; Delicio, H.C.; Barcellos, L.J.G.; Volpato, G.L.; Barreto, R.E.",fish,Oreochromis niloticus,lab,lab,adult,aggression,experimental,15,10,74.3,35.8,84.6,61.1,SD,35.8,61.1,,1225,462,threats,In-text,,,,
1508,P167,Does sex influence intraspecific aggression and dominance in Nile tilapia juveniles?,2014,Behavioural Processes,105,,15-18,"Pinho-Neto, C.F.; Miyai, C.A.; Sanches, F.H.C.; Giaquinto, P.C.; Delicio, H.C.; Barcellos, L.J.G.; Volpato, G.L.; Barreto, R.E.",fish,Oreochromis niloticus,lab,lab,adult,aggression,experimental,15,10,28.8,10.2,25,10.2,SD,10.2,10.2,,1226,463,lateral display,In-text,,,,
1509,P167,Does sex influence intraspecific aggression and dominance in Nile tilapia juveniles?,2014,Behavioural Processes,105,,15-18,"Pinho-Neto, C.F.; Miyai, C.A.; Sanches, F.H.C.; Giaquinto, P.C.; Delicio, H.C.; Barcellos, L.J.G.; Volpato, G.L.; Barreto, R.E.",fish,Oreochromis niloticus,lab,lab,adult,aggression,experimental,15,10,24.6,10.1,13.3,9,SD,10.1,9,,1227,464,frontal display,In-text,,,,
1510,P167,Does sex influence intraspecific aggression and dominance in Nile tilapia juveniles?,2014,Behavioural Processes,105,,15-18,"Pinho-Neto, C.F.; Miyai, C.A.; Sanches, F.H.C.; Giaquinto, P.C.; Delicio, H.C.; Barcellos, L.J.G.; Volpato, G.L.; Barreto, R.E.",fish,Oreochromis niloticus,lab,lab,adult,aggression,experimental,15,10,68.9,32.2,85.1,43,SD,32.2,43,,1228,465,bites,In-text,,,,
1511,P167,Does sex influence intraspecific aggression and dominance in Nile tilapia juveniles?,2014,Behavioural Processes,105,,15-18,"Pinho-Neto, C.F.; Miyai, C.A.; Sanches, F.H.C.; Giaquinto, P.C.; Delicio, H.C.; Barcellos, L.J.G.; Volpato, G.L.; Barreto, R.E.",fish,Oreochromis niloticus,lab,lab,adult,aggression,experimental,15,10,12.3,7.8,13,9.8,SD,7.8,9.8,,1229,466,lateral fights,In-text,,,,
1512,P167,Does sex influence intraspecific aggression and dominance in Nile tilapia juveniles?,2014,Behavioural Processes,105,,15-18,"Pinho-Neto, C.F.; Miyai, C.A.; Sanches, F.H.C.; Giaquinto, P.C.; Delicio, H.C.; Barcellos, L.J.G.; Volpato, G.L.; Barreto, R.E.",fish,Oreochromis niloticus,lab,lab,adult,aggression,experimental,15,10,7.3,8.1,7.3,10.4,SD,8.1,10.4,,1230,467,mouth wrestles,In-text,,,,
1513,P167,Does sex influence intraspecific aggression and dominance in Nile tilapia juveniles?,2014,Behavioural Processes,105,,15-18,"Pinho-Neto, C.F.; Miyai, C.A.; Sanches, F.H.C.; Giaquinto, P.C.; Delicio, H.C.; Barcellos, L.J.G.; Volpato, G.L.; Barreto, R.E.",fish,Oreochromis niloticus,lab,lab,adult,aggression,experimental,15,10,9.8,10.5,18,17.3,SD,10.5,17.3,,1231,468,chases,In-text,,,,
1514,P169,Precocial bird mothers shape sex differences in the behavior of their chicks,2014,Journal of Experimental Zoology Part A: Ecological Genetics and Physiology,321,5,265-275,"Pittet, F.; Houdelier, C.; Lumineau, S.",bird,Coturnix japonica,lab,lab,juvenile,sociality,experimental,11,11,23.5,7.35,11.6,3.33,SE,24.377,11.044,1,1232,469,step latency,in-text,,,,2
1515,P169,Precocial bird mothers shape sex differences in the behavior of their chicks,2014,Journal of Experimental Zoology Part A: Ecological Genetics and Physiology,321,5,265-275,"Pittet, F.; Houdelier, C.; Lumineau, S.",bird,Coturnix japonica,lab,lab,juvenile,sociality,experimental,11,11,10.56,2.84,11.67,3.28,SE,9.419,10.879,1,1233,469,step latency,in-text,,,,2
1516,P169,Precocial bird mothers shape sex differences in the behavior of their chicks,2014,Journal of Experimental Zoology Part A: Ecological Genetics and Physiology,321,5,265-275,"Pittet, F.; Houdelier, C.; Lumineau, S.",bird,Coturnix japonica,lab,lab,juvenile,sociality,experimental,11,11,99.4,19.21,104.7,21.77,SE,63.712,72.203,1,1234,470,step number,in-text,,,,2
1517,P169,Precocial bird mothers shape sex differences in the behavior of their chicks,2014,Journal of Experimental Zoology Part A: Ecological Genetics and Physiology,321,5,265-275,"Pittet, F.; Houdelier, C.; Lumineau, S.",bird,Coturnix japonica,lab,lab,juvenile,sociality,experimental,11,11,212.5,20.74,107.72,15.53,SE,68.787,51.507,1,1235,470,step number,in-text,,,,2
1518,P169,Precocial bird mothers shape sex differences in the behavior of their chicks,2014,Journal of Experimental Zoology Part A: Ecological Genetics and Physiology,321,5,265-275,"Pittet, F.; Houdelier, C.; Lumineau, S.",bird,Coturnix japonica,lab,lab,juvenile,sociality,experimental,11,11,82.35,13.05,90.2,14.65,SE,43.282,48.589,1,1236,471,no. distress calls,in-text,,,,
1519,P169,Precocial bird mothers shape sex differences in the behavior of their chicks,2014,Journal of Experimental Zoology Part A: Ecological Genetics and Physiology,321,5,265-275,"Pittet, F.; Houdelier, C.; Lumineau, S.",bird,Coturnix japonica,lab,lab,juvenile,sociality,experimental,11,11,115.26,12.36,99.83,14.41,SE,40.993,47.793,1,1237,471,no. distress calls,in-text,,,,
1520,P169,Precocial bird mothers shape sex differences in the behavior of their chicks,2014,Journal of Experimental Zoology Part A: Ecological Genetics and Physiology,321,5,265-275,"Pittet, F.; Houdelier, C.; Lumineau, S.",bird,Coturnix japonica,lab,lab,juvenile,sociality,experimental,11,11,159.35,25.05,160.56,24.9,SE,83.081,82.584,1,1238,472,time spent in zone,in-text,,,,
1521,P169,Precocial bird mothers shape sex differences in the behavior of their chicks,2014,Journal of Experimental Zoology Part A: Ecological Genetics and Physiology,321,5,265-275,"Pittet, F.; Houdelier, C.; Lumineau, S.",bird,Coturnix japonica,lab,lab,juvenile,sociality,experimental,11,11,196.24,24.42,179.58,27.62,SE,80.992,91.605,1,1239,472,time spent in zone,in-text,,,,
1522,P169,Precocial bird mothers shape sex differences in the behavior of their chicks,2014,Journal of Experimental Zoology Part A: Ecological Genetics and Physiology,321,5,265-275,"Pittet, F.; Houdelier, C.; Lumineau, S.",bird,Coturnix japonica,lab,lab,juvenile,sociality,experimental,11,11,26.95,6.26,21.3,5.55,SE,20.762,18.407,1,1240,473,distress calls,in-text,,,,
1523,P169,Precocial bird mothers shape sex differences in the behavior of their chicks,2014,Journal of Experimental Zoology Part A: Ecological Genetics and Physiology,321,5,265-275,"Pittet, F.; Houdelier, C.; Lumineau, S.",bird,Coturnix japonica,lab,lab,juvenile,sociality,experimental,11,11,18.33,6.47,1.5,0.67,SE,21.459,2.222,1,1241,473,distress calls,in-text,,,,
