row_ID,study_ID,title,year,journal,volume,issue,pages,authors,taxo_group,species_name,population,study_environment,age,personality_trait,study_type,male_n,female_n,male_mean,male_SE,female_mean,female_SE,error_type,m_SE_to_SD,f_SE_to_SD,directionality,comp,depend,data_type,data_location,score,proportion,flip_sign,data_quality
46,P008,Variation in aggressive behaviour in the poeciliid fish Brachyrhaphis episcopi: Population and sex differences,2011,Behavioural Processes,86,1,52-57,"Archard, G.A.; Braithwaite, V.A.",fish,Brachyrhaphis episcopi,field,lab,adult,aggression,experimental,6,6,1.012,0.332,0.6141,0.332,SE,0.813,0.813,,16,9,rate,Figure,,,,
47,P008,Variation in aggressive behaviour in the poeciliid fish Brachyrhaphis episcopi: Population and sex differences,2011,Behavioural Processes,86,1,52-57,"Archard, G.A.; Braithwaite, V.A.",fish,Brachyrhaphis episcopi,field,lab,adult,aggression,experimental,6,6,2.158,0.531,1.328,0.68,SE,1.301,1.666,,17,10,rate,Figure,,,,
48,P008,Variation in aggressive behaviour in the poeciliid fish Brachyrhaphis episcopi: Population and sex differences,2011,Behavioural Processes,86,1,52-57,"Archard, G.A.; Braithwaite, V.A.",fish,Brachyrhaphis episcopi,field,lab,adult,aggression,experimental,6,6,1.079,0.448,0.548,0.282,SE,1.097,0.691,,18,11,rate,Figure,,,,
49,P008,Variation in aggressive behaviour in the poeciliid fish Brachyrhaphis episcopi: Population and sex differences,2011,Behavioural Processes,86,1,52-57,"Archard, G.A.; Braithwaite, V.A.",fish,Brachyrhaphis episcopi,field,lab,adult,aggression,experimental,6,6,2.606,0.73,0.946,0.315,SE,1.788,0.772,,19,12,rate,Figure,,,,
50,P008,Variation in aggressive behaviour in the poeciliid fish Brachyrhaphis episcopi: Population and sex differences,2011,Behavioural Processes,86,1,52-57,"Archard, G.A.; Braithwaite, V.A.",fish,Brachyrhaphis episcopi,field,lab,adult,aggression,experimental,6,6,0.465,0.16,0.0665,0.066,SE,0.392,0.162,,16,9,rate,Figure,,,,
51,P008,Variation in aggressive behaviour in the poeciliid fish Brachyrhaphis episcopi: Population and sex differences,2011,Behavioural Processes,86,1,52-57,"Archard, G.A.; Braithwaite, V.A.",fish,Brachyrhaphis episcopi,field,lab,adult,aggression,experimental,6,6,0.612,0.253,1.09,0.505,SE,0.62,1.237,,17,10,rate,Figure,,,,
52,P008,Variation in aggressive behaviour in the poeciliid fish Brachyrhaphis episcopi: Population and sex differences,2011,Behavioural Processes,86,1,52-57,"Archard, G.A.; Braithwaite, V.A.",fish,Brachyrhaphis episcopi,field,lab,adult,aggression,experimental,6,6,0.811,0.239,0.598,0.239,SE,0.585,0.585,,18,11,rate,Figure,,,,
53,P008,Variation in aggressive behaviour in the poeciliid fish Brachyrhaphis episcopi: Population and sex differences,2011,Behavioural Processes,86,1,52-57,"Archard, G.A.; Braithwaite, V.A.",fish,Brachyrhaphis episcopi,field,lab,adult,aggression,experimental,6,6,1.112,0.559,1.662,0.465,SE,1.369,1.139,,19,12,rate,Figure,,,,
54,P009,Disassortative mating for boldness decreases reproductive success in the guppy,2013,Behavioral Ecology,24,6,1320-1326,"Ariyomo, T.O.; Watt, P.J.",fish,Poecilia reticulata,lab,lab,adult,boldness,experimental,80,80,106.23,4.45,77.82,5.63,SE,39.802,50.356,,20,15,lines crossed,in-text,,,,
55,P010,Aggression and sex differences in lateralization in the zebrafish,2013,Animal Behaviour,86,3,617-622,"Ariyomo, T.O.; Watt, P.J.",fish,Danio rerio,lab,lab,adult,aggression,experimental,20,20,41.391,3.478,58.783,7.478,SE,15.554,33.443,,21,16,no. encounters,Figure,,,,
