"study_ID","row_ID","male_mean_conv","male_sd_conv","female_mean_conv","female_sd_conv"
"P244",2517,2.63278938389009,1.35835096907929,2.97261027271128,1.41108830696172
"P244",2518,6.24247095671292,0.267515004338367,6.26360364733071,0.246702123862229
"P245",2519,2.50445255038075,1.43167372952689,3.23715895663573,1.33655979522759
"P040",290,3.23335228961679,1.04547578853747,3.27126776052417,0.963470177044101
"P040",287,3.60440750361124,0.942409279402963,3.21129867109551,0.911671422974833
"P089",729,3.83922737323769,0.990805587190637,3.91016493319212,0.980381193295528
"P089",708,2.2450238241828,1.1543303623701,3.68196619593177,0.847944428230138
"P089",701,1.70054693990499,1.26171220627079,2.18562069215284,0.79475186012537
"P089",715,2.50984414092636,1.43604678413411,3.56664004627098,1.1528778761589
"P089",694,1.46288892909486,1.2615421327645,3.6444827358227,0.982498497935123
"P089",722,3.43763368032538,0.932318030599989,3.88617978776805,1.03493788582444
"P050",365,3.29955165739044,1.16710251435195,3.47998384171174,1.11035299496528
"P050",373,2.88305497871509,1.24112634147833,3.48340168658764,1.06957386420564
"P050",374,4.04992961710875,1.01664189020958,3.36010648086106,1.08732445729908
"P050",366,2.80775336978278,1.31798884830206,2.98932368582563,1.25972684617052
"P050",375,2.99302828106627,1.29534192398464,2.25831443446607,1.45004534664996
"P050",376,1.90247350113117,1.52833393956857,2.37628589246142,1.38655072905702
"P050",367,3.94004238045078,0.964154606158426,2.89633720774644,1.28439870185754
"P050",368,2.64791856398923,1.38093798871885,3.60058900840452,1.1507309578149
"P050",378,2.97886169014071,1.27401608587034,2.14028142052812,1.45020828381871
"P050",370,3.22438938096208,1.16150625045017,3.32818575036814,1.13323092367265
"P050",369,2.72202520256413,1.22918995867619,2.96976398348967,1.27109071523932
"P050",377,2.26649759960085,1.34604260768893,2.6500597574979,1.24531713481907
"P050",372,3.97639857771794,1.01611121872698,2.83292206457702,1.13677704025087
"P050",379,3.42695534797912,1.16954565211811,4.03741240160809,0.987663987795419
"P050",380,1.34153643075252,0.881906353571039,3.6691650693478,1.105862019825
"P050",371,2.61755115681023,0.793291139322613,3.10933763902618,0.895625845550799
"P219",2135,4.13023379655267,0.534416946268246,5.58718665185858,0.658038783922075
"P219",2136,4.33357643776363,0.690565264970726,5.15200306766129,0.771175550325568
"P219",2134,5.28139934120296,0.83792478803197,4.64402058312796,0.763397884102156
"P219",2137,4.33774838958287,0.813145924177632,4.92844900512088,0.73882048341886
"P028",191,5.42352310415655,1.06811827355403,3.73950978133065,0.366477034586528
"P028",197,4.42967246229831,0.74814134896292,5.73636022836292,0.697907848320385
"P073",533,1.87025561754951,0.961637766305911,1.99239309829658,1.10874472732328
"P073",534,3.54928217022154,0.750432092581262,2.35536104980026,1.29576921293963
"P220",2152,4.0703574027092,0.336977691653002,3.71006625620177,0.482491162333001
"P220",2150,4.40060284724341,0.225568937787295,3.70522194248661,0.334598784238529
"P220",2151,4.52985080822679,0.64104611725888,3.93277894469314,0.324020130469085
"P117",1047,3.02652574415905,0.786439866970955,3.2325267512256,0.879166167938884
"P117",1017,2.9935695517282,0.653044702766561,2.95465025277023,0.668436350863294
"P117",1027,2.7809044982797,0.745389259965124,3.7841655517201,0.654270815410716
"P117",1037,3.84101739741074,0.485570167774465,4.33230704275312,0.722205735231593
"P214",2060,4.2435853545782,1.26566604518284,4.92567611146781,1.18448812318199
"P214",2062,7.0136001320985,0.68342562768491,6.90338448619148,0.692997151335494
"P214",2059,2.48827459295548,1.1906689717211,3.6306575943073,1.46115898275969
"P039",286,2.12268458919673,1.4311488736194,3.15238971077716,1.2395932137033
"P099",848,5.2212039401911,0.814038324927717,5.60518918747698,0.683079775767825
"P099",849,5.04075054721424,0.879439976526982,5.3412444958397,0.788223337930584
"P099",850,5.19129616466108,0.79029851867997,5.1729518184087,0.817367722439196
